Player,Position,Market_pick,VORP,Draft_score,Board_observations,Model_rank,VORP_rank,Base_live_score
Garrett Wilson,WR,30.29,2.0900507915916187,49.05475122391398,4,42.0,41.0,0.5267508731623983
Malik Nabers,WR,28.55,2.1665236161106254,48.47695520751905,92,43.0,39.0,0.5314779425402337
Rico Dowdle,RB,88.55,1.391606918743518,47.39954096838769,221,44.0,49.0,0.2343204708728994
Wan'Dale Robinson,WR,87.71,1.5288558133853734,45.90788245952107,952,45.0,47.0,0.2281994362342749
Quinshon Judkins,RB,60.99,0.6132021605667166,45.046201845703536,79,46.0,61.0,0.226099935064244
Caleb Williams,QB,68.07,0.4877098449147752,44.91315593462878,167,47.0,66.0,0.1878433288270748
Rhamondre Stevenson,RB,81.99,1.4516112802238137,44.42347362883273,458,48.0,48.0,0.2197664497372676
Justin Herbert,QB,70.0,0.5942487971741137,44.2084362501146,79,49.0,62.0,0.1805777571524535
Jalen Hurts,QB,56.94,0.8648596647300977,44.098881706916615,234,50.0,57.0,0.2495774750740996
Keisean Nixon,DB,171.8,2.14170818804698,43.553085019144,1,51.0,40.0,-0.045512149440883
Kyle Pitts,TE,82.88,1.6712943272651373,43.29420678920346,182,52.0,45.0,0.2203317110890019
TreVeyon Henderson,RB,53.83,0.8481921570593087,42.478972299859294,17,53.0,58.0,0.2355364091671717
Dak Prescott,QB,77.67,0.4467565257332033,40.40587190402901,20,54.0,68.0,0.0851190940967315
RJ Harvey,RB,92.56,0.8693488126920812,40.234691032569295,86,55.0,56.0,0.0688622824980415
Tee Higgins,WR,34.77,1.901129099262306,39.43463482758706,4,56.0,43.0,0.3545064547089169
Michael Wilson,WR,90.53,0.9353755102890862,38.322302894977305,126,57.0,55.0,0.0543354446226849
Quentin Johnston,WR,88.0,1.2711382826821396,38.004920417659314,803,58.0,50.0,0.089262879273165
Harold Fannin,TE,76.95,1.1317379816320958,37.37323634081351,67,59.0,53.0,0.1062361264393488
Christian Watson,WR,56.57,1.1680019864726656,37.3682269397959,217,60.0,52.0,0.1810965058025741
Sam LaPorta,TE,82.49,1.2273800051773982,34.74446087300719,39,61.0,51.0,0.0574358012536254
Tetairoa McMillan,WR,33.7,0.5792095384065306,34.52830629881452,2,62.0,63.0,0.1666468378229213
Jameson Williams,WR,53.5,0.9423996305128136,33.649783105426295,384,63.0,54.0,0.1174751918628551
Tony Pollard,RB,80.67,0.0,31.87405280339416,516,64.0,71.0,-0.0896905975229712
Tyler Warren,TE,53.48,0.5142280953505214,31.33745021927216,24,65.0,65.0,0.0450106024735247
Courtland Sutton,WR,85.42,0.8338345558884726,30.37177263289891,172,66.0,59.0,-0.0520642313266752
Rome Odunze,WR,59.12,0.2248341031266783,30.01764500351333,108,67.0,69.0,-0.0203173855416393
Jaxson Dart,QB,93.33,-0.8127906856042699,29.56808294194635,22,68.0,105.0,-0.2417138188835607
DK Metcalf,WR,78.2,0.5278765832424668,28.306751710513925,771,69.0,64.0,-0.0844954230003266
Jaylen Waddle,WR,37.67,0.1943597530972365,28.20626823042564,17,70.0,70.0,0.0260654036754944
Travis Kelce,TE,98.33,0.6741595641007123,26.60265832602916,4,71.0,60.0,-0.1665658049093111
Michael Pittman,WR,83.42,-0.1075827728607627,24.029275416341434,629,72.0,101.0,-0.2227341655700147
Emeka Egbuka,WR,35.67,-0.4627557515075633,23.765393721779155,3,73.0,103.0,-0.0911399845408062
Joe Burrow,QB,45.77,-0.8086193622720259,23.56390220001508,9,74.0,104.0,-0.1611047791963857
Jayden Daniels,QB,49.78,-1.3481448774372993,23.24756298246874,5,75.0,110.0,-0.2289961813635768
Lamar Jackson,QB,32.31,-0.9194658138676566,22.237679692983328,2,76.0,106.0,-0.1431112641733635
Jalen Redmond,DL,246.0,0.4822334841897939,20.78403282683301,1200,77.0,67.0,-0.7872875713188803
Parker Washington,WR,69.78,-1.0246264487601078,17.74765894300922,470,78.0,107.0,-0.3493909468295818
Anquin Barnes,DL,136.0,0.0,17.677999999999997,9,79.0,71.0,-0.4896538397734836
Anthony Lucas,DL,136.0,0.0,17.677999999999997,3,79.0,71.0,-0.4896538397734836
Brandon Cleveland,DL,136.0,0.0,17.677999999999997,62,79.0,71.0,-0.4896538397734836
Bryce Ganious,DL,136.0,0.0,17.677999999999997,47,79.0,71.0,-0.4896538397734836
Cameron Robertson,DL,136.0,0.0,17.677999999999997,62,79.0,71.0,-0.4896538397734836
DJ Dale,DL,136.0,0.0,17.677999999999997,11,79.0,71.0,-0.4896538397734836
Damonic Williams,DL,136.0,0.0,17.677999999999997,7,79.0,71.0,-0.4896538397734836
Desmond Little,DL,136.0,0.0,17.677999999999997,16,79.0,71.0,-0.4896538397734836
Domonique Orange,DL,136.0,0.0,17.677999999999997,77,79.0,71.0,-0.4896538397734836
Gabe Jacas,DL,136.0,0.0,17.677999999999997,70,79.0,71.0,-0.4896538397734836
Jack Pyburn,DL,136.0,0.0,17.677999999999997,66,79.0,71.0,-0.4896538397734836
Jaxson Moi,DL,136.0,0.0,17.677999999999997,1200,79.0,71.0,-0.4896538397734836
Jonah Tavai,DL,136.0,0.0,17.677999999999997,6,79.0,71.0,-0.4896538397734836
Joshua Josephs,DL,136.0,0.0,17.677999999999997,81,79.0,71.0,-0.4896538397734836
LT Overton,DL,136.0,0.0,17.677999999999997,59,79.0,71.0,-0.4896538397734836
Laki Tasi,DL,136.0,0.0,17.677999999999997,10,79.0,71.0,-0.4896538397734836
MJ Anderson,DL,136.0,0.0,17.677999999999997,1200,79.0,71.0,-0.4896538397734836
Nyjalik Kelly,DL,136.0,0.0,17.677999999999997,72,79.0,71.0,-0.4896538397734836
Patrick Jenkins,DL,136.0,0.0,17.677999999999997,9,79.0,71.0,-0.4896538397734836
Peter Woods,DL,136.0,0.0,17.677999999999997,1200,79.0,71.0,-0.4896538397734836
R Mason Thomas,DL,136.0,0.0,17.677999999999997,1200,79.0,71.0,-0.4896538397734836
TJ Parker,DL,136.0,0.0,17.677999999999997,67,79.0,71.0,-0.4896538397734836
Tommy Dunn,DL,136.0,0.0,17.677999999999997,62,79.0,71.0,-0.4896538397734836
Travis Shaw,DL,136.0,0.0,17.677999999999997,8,79.0,71.0,-0.4896538397734836
VJ Anthony,DL,136.0,0.0,17.677999999999997,337,79.0,71.0,-0.4896538397734836
Wesley Williams,DL,136.0,0.0,17.677999999999997,54,79.0,71.0,-0.4896538397734836
Zane Durant,DL,136.0,0.0,17.677999999999997,5,79.0,71.0,-0.4896538397734836
Malachi Moore,DB,125.0,0.0,16.452401915532807,128,106.0,71.0,-0.4687370891561779
Terry McLaurin,WR,44.33,-0.3986329181313657,16.20747539502542,3,107.0,102.0,-0.2251372245601639
Kyle Hamilton,DB,118.8,2.8999999999999986,15.049620136714095,1071,110.1,71.0,-0.4866896830913528
Marvin Harrison,WR,69.8,-1.264493046956897,10.968574195683445,18,109.0,109.0,-0.4694803859623833
Carson Wentz,QB,55.0,-3.0913014710594187,10.328257712018944,3,110.0,142.0,-0.593389018947446
Mike Evans,WR,50.33,-1.1217492917639245,8.18810938740465,73,111.0,108.0,-0.4282831052624081
Michael Pratt,QB,51.0,-3.019108632228868,5.295548076240789,6,112.0,119.0,-0.6456009944025679
Athan Kaliakmanis,QB,82.0,-3.019108632228868,5.019395714642903,19,113.0,119.0,-0.758546909313094
Kyle McCord,QB,78.0,-3.019108632228868,4.619025123134044,6,114.0,119.0,-0.7502850147788848
Diego Pavia,QB,80.0,-3.019108632228868,4.578712683228217,3,115.0,119.0,-0.7578975122054489
Behren Morton,QB,83.5,-3.019108632228868,4.5105322718641805,16,116.0,119.0,-0.7711851262641783
Jalon Daniels,QB,86.4,-3.019108632228868,4.4561709786772,44,117.0,119.0,-0.7821640136513806
Luke Altmyer,QB,87.0,-3.019108632228868,4.445151859784021,19,118.0,119.0,-0.7844322063115311
Rocky Lombardi,QB,71.0,-3.019108632228868,4.168743312973243,1,119.0,119.0,-0.7322022813889661
Kurtis Rourke,QB,81.0,-3.019108632228868,3.9589328471842897,6,120.0,119.0,-0.7703841740231875
Cam Miller,QB,86.5,-3.019108632228868,3.854329155076451,17,121.0,119.0,-0.7912279843434679
Brian Thomas,WR,77.84,-1.7389983004538951,3.816413160386126,15,122.0,111.0,-0.644561832119026
Joey Aguilar,QB,90.5,-3.019108632228868,3.7823505124443786,21,123.0,119.0,-0.8063278124945122
DJ Uiagalelei,QB,93.5,-3.019108632228868,3.730424509012468,5,124.0,119.0,-0.8176228914124473
Dorian Thompson-Robinson,QB,88.0,-3.019108632228868,3.4669544465688755,16,125.0,119.0,-0.8021074773672225
Sam Howell,QB,66.0,-3.019108632228868,3.445018046106912,12,126.0,119.0,-0.7251069517484746
Tommy DeVito,QB,59.6,-3.019108632228868,3.0074268664592423,12,127.0,119.0,-0.7089491783408618
Sam Hartman,QB,83.33,-3.019108632228868,2.9537772957686474,6,128.0,119.0,-0.7931239326264937
Desmond Ridder,QB,90.5,-3.019108632228868,2.9423505124443787,17,129.0,119.0,-0.8184880190175267
Hendon Hooker,QB,70.33,-3.019108632228868,2.743840174643285,1,130.0,119.0,-0.7504751137767919
Stetson Bennett,QB,82.5,-3.019108632228868,2.489716315075968,10,131.0,119.0,-0.7969248813329181
Bailey Zappe,QB,91.0,-3.019108632228868,2.3335777281291143,7,132.0,119.0,-0.8290581087124876
Sam Ehlinger,QB,75.0,-3.019108632228868,2.2814745517353074,1,133.0,119.0,-0.7735810413750518
Derek Carr,QB,53.0,-3.019108632228868,1.994299897281792,8,134.0,119.0,-0.7004202204543287
Case Keenum,QB,86.33,-3.019108632228868,1.2174615240239597,12,135.0,119.0,-0.8288029727919715
Jordan Addison,WR,99.83,-1.9911691931320163,-0.1349081945919938,1,136.0,112.0,-0.8020504635274275
Chuba Hubbard,RB,86.83,-2.464546861597832,-2.1835456153629305,184,137.0,113.0,-0.829204003100705
TJ Harden,RB,86.5,-2.6838470997992694,-2.9083170530571643,33,138.0,115.0,-0.8585423060238891
Kentrel Bullock,RB,99.6,-2.6838470997992694,-3.612853458514157,3,139.0,115.0,-0.9147808885107952
Jonathon Brooks,RB,86.67,-2.6838470997992694,-3.751443271943305,24,140.0,115.0,-0.871345226996902
Josh Downs,WR,85.44,-2.891586919127615,-8.299218958717853,85,141.0,118.0,-0.9518093797636844
Chris Godwin,WR,81.74,-2.532876070948088,-10.363673576383276,39,142.0,114.0,-0.935967937450332
Jordyn Tyson,WR,67.67,-3.667866241678104,-11.707588071528882,1,143.0,143.0,-1.00951564276493
Makai Lemon,WR,89.67,-3.667866241678104,-12.15579758242243,129,144.0,143.0,-1.0933222057384804
Noah Thomas,WR,95.8,-3.667866241678104,-12.26108779295764,109,145.0,143.0,-1.1163900632404231
Trebor Pena,WR,96.33,-3.667866241678104,-12.749872449107007,26,146.0,143.0,-1.1253285861911546
Miles Kitselman,TE,81.33,-4.175845871593966,-21.18817609889832,6,147.0,147.0,-1.2411094168356471
Jalin Conyers,TE,91.33,-4.175845871593966,-21.372821098192023,13,148.0,147.0,-1.2789270031962614
Jaheim Bell,TE,88.33,-4.175845871593966,-22.27964050129501,7,149.0,147.0,-1.281511141119345
Noah Togiai,TE,81.0,-4.175845871593966,-22.62170230710159,9,150.0,147.0,-1.2607019964281587
Khalil Dinkins,TE,85.33,-4.175845871593966,-23.30462214083722,2,151.0,147.0,-1.2858058471356697
Ross Travis,TE,77.0,-4.175845871593966,-23.501064503183898,1,152.0,147.0,-1.2593741933634772
Myles Garrett,DL,104.0,3.8,0.0,v9.36 external 2026 IDP consensus fallback,92.6,,0.0
Aidan Hutchinson,DL,116.0,2.96,0.0,v9.36 external 2026 IDP consensus fallback,107.12,,0.0
Maxx Crosby,DL,112.0,3.24,0.0,v9.36 external 2026 IDP consensus fallback,102.28,,0.0
Will Anderson Jr.,DL,124.0,2.3999999999999995,0.0,v9.36 external 2026 IDP consensus fallback,116.8,,0.0
Brian Burns,DL,120.0,2.679999999999999,0.0,v9.36 external 2026 IDP consensus fallback,111.96,,0.0
Nick Bosa,DL,148.0,0.7199999999999998,0.0,v9.36 external 2026 IDP consensus fallback,145.84,,0.0
Danielle Hunter,DL,128.0,2.12,0.0,v9.36 external 2026 IDP consensus fallback,121.64,,0.0
T.J. Watt,DL,136.0,1.5599999999999996,0.0,v9.36 external 2026 IDP consensus fallback,131.32,,0.0
Josh Hines-Allen,DL,,,0.0,v9.36 external 2026 IDP consensus fallback,,,0.0
Jeffery Simmons,DL,164.0,-0.4000000000000003,0.0,v9.36 external 2026 IDP consensus fallback,164.0,,0.0
Trey Hendrickson,DL,152.0,0.4399999999999995,0.0,v9.36 external 2026 IDP consensus fallback,150.68,,0.0
Brian Branch,DB,111.6,3.299999999999999,0.0,v9.37 external 2026 fantasy-IDP DB consensus fallback,101.7,,0.0
Nick Emmanwori,DB,115.2,3.1,0.0,v9.37 external 2026 fantasy-IDP DB consensus fallback,105.9,,0.0
Derwin James,DB,122.4,2.7,0.0,v9.37 external 2026 fantasy-IDP DB consensus fallback,114.3,,0.0
Nick Cross,DB,126.0,2.4999999999999982,0.0,v9.37 external 2026 fantasy-IDP DB consensus fallback,118.5,,0.0
Jessie Bates,DB,129.6,2.299999999999999,0.0,v9.37 external 2026 fantasy-IDP DB consensus fallback,122.7,,0.0
Antoine Winfield Jr.,DB,133.2,2.0999999999999988,0.0,v9.37 external 2026 fantasy-IDP DB consensus fallback,126.9,,0.0
Cooper DeJean,DB,140.4,1.6999999999999993,0.0,v9.37 external 2026 fantasy-IDP DB consensus fallback,135.3,,0.0
Devon Witherspoon,DB,144.0,1.4999999999999991,0.0,v9.37 external 2026 fantasy-IDP DB consensus fallback,139.5,,0.0
DeShon Elliott,DB,147.6,1.299999999999999,0.0,v9.37 external 2026 fantasy-IDP DB consensus fallback,143.7,,0.0
Xavier McKinney,DB,151.2,1.0999999999999988,0.0,v9.37 external 2026 fantasy-IDP DB consensus fallback,147.9,,0.0
Budda Baker,DB,154.8,0.8999999999999986,0.0,v9.37 external 2026 fantasy-IDP DB consensus fallback,152.10000000000002,,0.0
Julian Love,DB,158.4,0.6999999999999993,0.0,v9.37 external 2026 fantasy-IDP DB consensus fallback,156.3,,0.0
Christian Gonzalez,DB,180.0,-0.5000000000000018,0.0,v9.37 external 2026 fantasy-IDP DB consensus fallback,180.0,,0.0
Sauce Gardner,DB,186.0,-1.1000000000000003,0.0,v9.37 external 2026 fantasy-IDP DB consensus fallback,186.0,,0.0
Pat Surtain II,DB,186.0,-1.1000000000000003,0.0,v9.37 external 2026 fantasy-IDP DB consensus fallback,186.0,,0.0
Denzel Ward,DB,186.0,-1.1000000000000003,0.0,v9.37 external 2026 fantasy-IDP DB consensus fallback,186.0,,0.0
Micah Parsons,DL,160.0,-0.1200000000000001,,,160.0,,
Andrew Van Ginkel,DL,132.0,1.839999999999999,,,126.48,,
Nik Bonitto,DL,140.0,1.2799999999999994,,,136.16,,
Tuli Tuipulotu,DL,144.0,0.9999999999999992,,,141.0,,
CeeDee Lamb,WR,10.5,6.6,104.0,750,9.0,10.0,1.82
Justin Jefferson,WR,13.0,6.1,98.0,750,12.0,12.0,1.65
Ashton Jeanty,RB,14.5,5.5,94.0,750,14.0,14.0,1.52
Saquon Barkley,RB,14.0,5.8,97.0,750,13.0,13.0,1.6
Brock Bowers,TE,20.5,6.4,99.0,750,11.0,11.0,1.72
Drake London,WR,18.5,5.2,89.0,750,16.0,15.0,1.43
Kenneth Walker III,RB,18.6,5.3,91.0,750,15.0,14.0,1.47
A.J. Brown,WR,22.0,4.8,84.0,750,18.0,16.0,1.31
Nico Collins,WR,25.0,4.6,81.0,750,19.0,17.0,1.25
DeVonta Smith,WR,44.0,3.7,70.0,700,27.0,23.0,0.9
Bo Nix,QB,63.0,1.55,53.0,700,40.0,30.0,1.1
Colston Loveland,TE,46.0,5.8,91.0,950,14.0,13.0,1.62
Ladd McConkey,WR,40.0,3.9,72.0,900,25.0,22.0,0.98
Jeremiyah Love,RB,24.0,4.408855462586593,82.75181044952306,0,20.74012973204242,21.80603765866369,1.2479759650709112
David Montgomery,RB,54.0,2.292796590547893,59.73573737122008,0,35.63069582662463,40.125908822014935,0.6096879014243629
Bhayshul Tuten,RB,58.0,2.524967495344636,63.2463208847926,0,31.22759766941748,35.94333198781579,0.6765150651253456
Carnell Tate,WR,65.0,-1.284250249959424,13.064047249453012,0,97.9376111220792,103.07465508287956,-0.4257489201709764
Harold Fannin Jr.,TE,68.0,-0.2537503059762595,19.64700058030868,0,89.1089121432828,83.34258854460882,-0.265304532717191
Jadarian Price,RB,74.0,0.3724170938913806,35.15730342840099,0,68.73545372719308,66.56954771911586,-0.0076360700936551
George Kittle,TE,84.0,-1.6554376428062492,5.125889570017682,0,107.8030714094671,102.6605773070531,-0.6353318769690148
KC Concepcion,WR,91.0,-0.6093030918006646,20.860860374866927,0,87.45605786416087,85.31923871042744,-0.3379400280996313
Jayden Reed,WR,95.0,-2.25746817525953,2.138913126337571,0,121.71846720130344,116.31273913166578,-0.7758260236138983
Dalton Kincaid,TE,105.0,-2.154066499581732,-1.593736930814366,0,116.4869119549044,110.85417088110395,-0.8075747062869257
Isaiah Likely,TE,110.0,-2.329798525222323,-3.5363286706196817,0,119.39455587098207,113.93327878361522,-0.8536225327778053
Matthew Golden,WR,116.0,-2.489304026883136,-1.2169759013807235,0,129.0811465635568,120.9059901046925,-0.8488359277625909
Jayden Higgins,WR,113.0,-2.692281672441853,-3.624416076545031,0,133.66441787214524,124.75088806630797,-0.904435773460744
Kenyon Sadiq,TE,161.0,-2.3436703065023927,-3.552702538723012,0,119.3773212283097,114.1720548270286,-0.85702762495432
DJ Moore,WR,48.2,2.55,54.5,900,38.0,34.0,0.68
Luther Burden III,WR,54.0,2.75,57.5,900,35.0,31.0,0.74
J.K. Dobbins,RB,80.0,1.55,52.0,0,41.0,46.0,0.36
James Cook III,RB,11.0,5.5,80.0,0,11.44,11.22,0.9319
Travis Etienne Jr.,RB,32.0,4.58,80.0,0,33.28,32.64,0.77924
Marvin Harrison Jr.,WR,65.0,2.625,70.513,0,67.6,66.3,0.47143
Brian Thomas Jr.,WR,73.0,2.185,66.773,0,75.92,74.46,0.40133
Jakobi Meyers,WR,81.0,1.745,63.033,0,84.24,82.62,0.33124
Kyle Pitts Sr.,TE,89.0,0.35,52.995,0,97.56,90.78,0.13381
Blake Corum,RB,90.0,1.1,58.15,0,93.6,91.8,0.23238
Alec Pierce,WR,91.0,1.195,58.358,0,94.64,92.82,0.24362
Patrick Mahomes II,QB,93.0,0.315,50.958,0,104.72,94.86,0.12343
Michael Pittman Jr.,WR,95.0,0.975,56.488,0,98.8,96.9,0.20857
Xavier Worthy,WR,99.0,0.755,54.617,0,102.96,100.98,0.17352
Chris Godwin Jr.,WR,101.0,0.645,53.683,0,105.04,103.02,0.156
Mark Andrews,TE,102.0,-0.3,47.21,0,111.08,104.04,0.02857
Kyle Monangai,RB,105.0,0.2,50.8,0,109.2,107.1,0.09095
Kenneth Gainwell,RB,106.0,0.14,50.31,0,110.24,108.12,0.08152
Jordan Love,QB,107.0,-0.315,45.042,0,119.28,109.14,0.01943
Kyler Murray,QB,110.0,-0.45,43.775,0,122.4,112.2,-0.00286
Jordan Mason,RB,114.0,-0.34,46.39,0,118.56,116.28,0.0061
Aaron Jones Sr.,RB,116.0,-0.46,45.41,0,120.64,118.32,-0.01276
Tyler Shough,QB,117.0,-0.765,40.818,0,129.68,119.34,-0.05486
Jared Goff,QB,118.0,-0.81,40.395,0,130.72,120.36,-0.06229
Baker Mayfield,QB,119.0,-0.855,39.973,0,131.76,121.38,-0.06971
Malik Willis,QB,121.0,-0.945,39.127,0,133.84,123.42,-0.08457
Rachaad White,RB,122.0,-0.82,42.47,0,126.88,124.44,-0.06933
Jake Ferguson,TE,123.0,-1.35,37.865,0,132.92,125.46,-0.14143
Jalen Coker,WR,124.0,-0.62,42.93,0,128.96,126.48,-0.04552
Dallas Goedert,TE,125.0,-1.45,36.975,0,135.0,127.5,-0.15762
Chris Rodriguez Jr.,RB,126.0,-1.06,40.51,0,131.04,128.52,-0.10705
Keaton Mitchell,RB,128.0,-1.18,39.53,0,133.12,130.56,-0.1259
Romeo Doubs,WR,129.0,-0.895,40.593,0,134.16,131.58,-0.08933
Khalil Shakir,WR,130.0,-0.95,40.125,0,135.2,132.6,-0.0981
Sam Darnold,QB,132.0,-1.44,34.48,0,145.28,134.64,-0.16629
C.J. Stroud,QB,133.0,-1.485,34.057,0,146.32,135.66,-0.17371
Tyrone Tracy Jr.,RB,134.0,-1.54,36.59,0,139.36,136.68,-0.18248
Jalen McMillan,WR,136.0,-1.28,37.32,0,141.44,138.72,-0.15067
Jacory Croskey-Merritt,RB,137.0,-1.72,35.12,0,142.48,139.74,-0.21076
Isiah Pacheco,RB,138.0,-1.78,34.63,0,143.52,140.76,-0.22019
Daniel Jones,QB,139.0,-1.755,31.522,0,152.56,141.78,-0.21829
Oronde Gadsden II,TE,140.0,-2.2,30.3,0,150.6,142.8,-0.27905
Hunter Henry,TE,141.0,-2.25,29.855,0,151.64,143.82,-0.28714
Rashid Shaheed,WR,142.0,-1.61,34.515,0,147.68,144.84,-0.20324
Omar Cooper Jr.,WR,143.0,-1.665,34.047,0,148.72,145.86,-0.212
Jauan Jennings,WR,144.0,-1.72,33.58,0,149.76,146.88,-0.22076
Deebo Samuel Sr.,WR,145.0,-1.775,33.113,0,150.8,147.9,-0.22952
Brenton Strange,TE,146.0,-2.5,27.63,0,156.84,148.92,-0.32762
Brian Robinson Jr.,RB,147.0,-2.32,30.22,0,152.88,149.94,-0.30505
Woody Marks,RB,148.0,-2.38,29.73,0,153.92,150.96,-0.31448
Brandon Aubrey,K,149.0,0.568,27.776,0,179.96,151.98,0.07716
Denzel Boston,WR,150.0,-2.05,30.775,0,156.0,153.0,-0.27333
Chig Okonkwo,TE,151.0,-2.75,25.405,0,162.04,154.02,-0.3681
Calvin Ridley,WR,152.0,-2.16,29.84,0,158.08,155.04,-0.29086
Stefon Diggs,WR,153.0,-2.215,29.372,0,159.12,156.06,-0.29962
Juwan Johnson,TE,154.0,-2.9,24.07,0,165.16,157.08,-0.39238
Ryan Flournoy,WR,157.0,-2.435,27.503,0,163.28,160.14,-0.33467
Jalen Nailor,WR,158.0,-2.49,27.035,0,164.32,161.16,-0.34343
Cam Ward,QB,159.0,-2.655,23.073,0,173.36,162.18,-0.36686
Bryce Young,QB,160.0,-2.7,22.65,0,174.4,163.2,-0.37429
Tre Tucker,WR,162.0,-2.71,25.165,0,168.48,165.24,-0.37848
Ka'imi Fairbairn,K,164.0,0.448,23.936,0,195.56,167.28,0.03973
Jerry Jeudy,WR,166.0,-2.93,23.295,0,172.64,169.32,-0.41352
T.J. Hockenson,TE,167.0,-3.55,18.285,0,178.68,170.34,-0.49762
Tyjae Spears,RB,168.0,-3.58,19.93,0,174.72,171.36,-0.50305
Cam Little,K,169.0,0.408,22.656,0,200.76,172.38,0.02726
Dalton Schultz,TE,170.0,-3.7,16.95,0,181.8,173.4,-0.5219
Germie Bernard,WR,171.0,-3.205,20.958,0,177.84,174.42,-0.45733
Pat Freiermuth,TE,172.0,-3.8,16.06,0,183.88,175.44,-0.5381
Tank Bigsby,RB,173.0,-3.88,17.48,0,179.92,176.46,-0.55019
Isaac TeSlaa,WR,174.0,-3.37,19.555,0,180.96,177.48,-0.48362
Fernando Mendoza,QB,175.0,-3.375,16.312,0,190.0,178.5,-0.48571
